fid,InputID,TargetID,Distance
"614","99164","42519",2893567.91490028
"615","99164","39577",2978675.82777094
"616","99164","48829",2539439.2934436
"617","99164","42528",2843088.51415256
"618","99164","42533",2881664.45473198
"619","99164","48831",2600264.27785983
"620","99164","48832",2557251.72502184
"621","99164","39581",3061349.87286652
"622","99164","48834",2548916.42245856
"623","99164","42539",2840586.54587164
"624","99164","42541",2848393.12452148
"625","99164","48835",2574512.2685059
"626","99164","48836",2640008.00276845
"627","99164","42544",2866820.53440546
"628","99164","42553",2867713.17984833
"629","99164","42565",2853876.94927683
"630","99164","95916",856479.56929675
"631","99164","95917",894465.619746577
"632","99164","95918",893139.807514488
"633","99164","95919",876763.837561727
"634","99164","95920",896264.18001292
"635","99164","95922",865617.620953063
"636","99164","95923",797356.904858465
"637","99164","95925",870524.843060328
"638","99164","95926",864148.236423642
"639","99164","95928",870414.092793971
"640","99164","95930",862343.621683613
"641","99164","95932",917569.624283782
"642","99164","95934",800309.593410179
"643","99164","95935",880365.141923102
"644","99164","95936",844685.499458256
"645","99164","95937",957002.464148561
"646","99164","95938",876991.077903664
"647","99164","95939",910457.218760808
"648","99164","95941",867053.730097945
"649","99164","95942",826675.83713666
"650","99164","95943",887202.626475225
"651","99164","95944",859977.90407366
"652","99164","95945",893139.285657467
"653","99164","95946",897547.749686777
"654","99164","95947",786339.486588658
"655","99164","95948",902082.226984536
"656","99164","95949",907367.555845844
"657","99164","95950",938136.266030963
"658","99164","95951",872752.238970864
"659","99164","95953",912039.885431805
"660","99164","95954",840285.161144541
"661","99164","95955",922749.509403199
"662","99164","95956",830958.818741249
"663","99164","95957",933168.095143076
"664","99164","95959",876501.911590199
"665","99164","95960",874709.289513174
"666","99164","95961",927366.692838618
"667","99164","95962",885937.53135233
"668","99164","95963",880502.652243347
"669","99164","95965",870908.57708898
"670","99164","95966",878064.5508795
"671","99164","33605",3669889.5032529
"672","99164","37362",3000411.03558635
"673","99164","33606",3668924.05697255
"674","99164","37363",2967367.07220119
"675","99164","37365",2913264.99101125
"676","99164","23085",3434064.505882
"677","99164","43777",2921613.47503921
"678","99164","43778",2966511.18450258
"679","99164","49946",2191866.66490508
"680","99164","43779",2972354.05880034
"681","99164","23086",3420292.55169541
"682","99164","49947",2102434.21962445
"683","99164","43780",2966202.42834583
"684","99164","23089",3442867.89221377
"685","99164","43782",2921776.06411834
"686","99164","23091",3440080.84771578
"687","99164","49948",2139192.23418956
"688","99164","23092",3464915.09579893
"689","99164","43783",2907291.57261218
"690","99164","43786",2988926.46729977
"691","99164","49950",2194210.59462355
"692","99164","49952",2156878.41074258
"693","99164","43787",2957598.39818198
"694","99164","53537",2247457.03128275
"695","99164","61858",2472985.29537258
"696","99164","61859",2457237.65322168
"697","99164","61862",2450325.72052274
"698","99164","61863",2445734.84655408
"699","99164","53538",2264063.2450512
"700","99164","53540",2143660.05311083
"701","99164","61864",2452017.31820812
"702","99164","53541",2189201.13867137
"703","99164","61865",2461758.07759344
"704","99164","53543",2144521.99524829
"705","99164","53544",2185311.4092366
"706","99164","61866",2434678.62422893
"707","99164","53545",2257922.25119108
"708","99164","61870",2496293.73234113
"709","99164","61871",2454901.17574739
"710","99164","61872",2436647.63940936
"711","99164","61873",2452137.43210169
"712","99164","61874",2440006.34893921
"713","99164","61875",2425172.65844564
"714","99164","53546",2268225.91091479
"715","99164","61876",2479537.99277707
"716","99164","61877",2456434.24157717
"717","99164","61878",2438644.24288079
"718","99164","61880",2444812.6630574
"719","99164","53548",2253186.96031956
"720","99164","61882",2398702.38180963
"721","99164","37714",2954114.89087497
"722","99164","37715",2959871.48174808
"723","99164","33823",3703106.5453949
"724","99164","37716",2971991.12876532
"725","99164","37719",2957189.05738488
"726","99164","37721",2997077.7633813
"727","99164","37722",3060036.08654906
"728","99164","02568",3716900.05105328
"729","99164","02571",3696574.77884811
"730","99164","02575",3716646.80592529
"731","99164","02576",3690750.24828559
"732","99164","02584",3772368.86634079
"733","99164","02601",3731519.7110313
"734","99164","02630",3728951.22194635
"735","99164","02631",3744616.73956671
"736","99164","02632",3727660.41288824
"737","99164","02633",3754676.94221956
"738","99164","02635",3722375.28148648
"739","99164","02637",3731227.76948227
"740","99164","02638",3735799.76685222
"741","99164","02639",3743409.72385095
"742","99164","02641",3738148.12450334
"743","99164","02642",3747394.95941361
"744","99164","02643",3753930.62670643
"745","99164","02644",3714261.32573282
"746","99164","02645",3747270.64037494
"747","99164","02646",3748000.0482253
"748","99164","02647",3732110.57482705
"749","99164","02648",3721986.27313431
"750","99164","02649",3718890.42871878
"751","99164","02650",3754476.6077055
"752","99164","75161",2363150.52257346
"753","99164","75163",2413732.24046092
"754","99164","75164",2327775.90878518
"755","99164","70503",2837030.08609226
"756","99164","80487",1075786.16058973
"757","99164","80488",1086363.88736926
"758","99164","80497",1196579.47023085
"759","99164","70506",2833829.17531523
"760","99164","80498",1174600.73622834
"761","99164","75165",2354012.04239144
"762","99164","70507",2830113.67838976
"763","99164","75166",2323029.08787248
"764","99164","75167",2347541.80090831
"765","99164","80501",1215741.87884311
"766","99164","70508",2840527.83505527
"767","99164","75169",2376948.26716257
"768","99164","80503",1208876.31927097
"769","99164","75172",2342144.56673884
"770","99164","75173",2323005.47415622
"771","99164","70510",2850503.41908069
"772","99164","75180",2336331.9998999
"773","99164","70512",2826402.26975529
"774","99164","70513",2869313.76310706
"775","99164","75181",2339661.59692228
"776","99164","42055",2614219.62755229
"777","99164","42056",2550932.4519956
"778","99164","42058",2592009.43911608
"779","99164","42060",2571720.13964068
"780","99164","42061",2581074.31812376
"781","99164","42064",2602404.50279922
"782","99164","48601",2625243.83751328
"783","99164","42066",2600022.37315197
"784","99164","42069",2579593.89773784
"785","99164","48602",2618489.81717909
"786","99164","27305",3319810.70105993
"787","99164","27306",3341999.55723952
"788","99164","27310",3282340.98765776
"789","99164","27311",3303283.79496112
"790","99164","27312",3367729.31379514
"791","99164","27313",3315263.0900885
"792","99164","27314",3336428.42867324
"793","99164","27315",3308198.19634355
"794","99164","27316",3339546.68364017
"795","99164","27317",3316926.72067192
"796","99164","27320",3297685.85658242
"797","99164","27325",3356992.30213033
"798","99164","27326",3298841.65935096
"799","99164","27330",3383074.51646637
"800","99164","27332",3395335.23078446
"801","99164","27340",3347194.19400996
"802","99164","27341",3343593.151865
"803","99164","27343",3331200.82898812
"804","99164","27344",3351569.22510428
"805","99164","27349",3342532.73589138
"806","99164","27350",3312301.58177664
"807","99164","27355",3337569.58185772
"808","99164","27356",3341573.84050054
"809","99164","27357",3277869.53509457
"810","99164","27358",3287639.23899536
"811","99164","27360",3293217.6867212
"812","99164","27370",3304240.37482194
"813","99164","27371",3330587.31073174
"814","99164","27376",3372806.72683436
"815","99164","27377",3320007.64696707
"816","99164","27379",3319283.32501417
"817","99164","27401",3305723.76500925
"818","99164","27403",3301602.91528972
"819","99164","27405",3305271.79347931
"820","99164","27406",3309992.26784093
"821","99164","43569",2718386.98551489
"822","99164","43570",2658012.61897189
"823","99164","43571",2708598.3991902
"824","99164","43604",2723936.78948762
"825","99164","43605",2726644.18951595
"826","99164","43606",2717650.0073071
